Seed,N,Nout,qli,LB,UB,Time
1,4,3,10,158269,158269,15
2,4,3,10,128374,128374,938
3,4,3,10,115173,115173,19
4,4,3,10,140353,140353,17
5,4,3,10,150129,150129,16
1,4,4,10,156409,156409,14
2,4,4,10,137810,137810,139
3,4,4,10,137439,137439,17
4,4,4,10,141535,141535,15
5,4,4,10,153273,153273,15
1,4,5,10,172995,172995,15
2,4,5,10,141774,141774,92
3,4,5,10,134828,134828,33
4,4,5,10,148536,148536,14
5,4,5,10,154826,154826,14
1,4,3,20,158454,158454,13
2,4,3,20,128480,128480,124
3,4,3,20,115260,115260,15
4,4,3,20,140470,140470,13
5,4,3,20,150221,150221,14
1,4,4,20,157093,157093,13
2,4,4,20,138536,138536,51
3,4,4,20,138061,138061,16
4,4,4,20,141743,141743,14
5,4,4,20,153474,153474,13
1,4,5,20,173601,173601,14
2,4,5,20,142025,142025,38
3,4,5,20,135304,135304,23
4,4,5,20,148709,148709,14
5,4,5,20,155646,155646,13
1,4,3,40,159470,159470,14
2,4,3,40,129768,129768,14
3,4,3,40,116476,116476,13
4,4,3,40,141368,141368,14
5,4,3,40,151236,151236,14
1,4,4,40,157204,157204,14
2,4,4,40,139151,139151,34
3,4,4,40,138433,138433,14
4,4,4,40,148640,148640,14
5,4,4,40,154765,154765,14
1,4,5,40,190250,190250,14
2,4,5,40,142820,142820,37
3,4,5,40,136899,136899,20
4,4,5,40,155208,155208,14
5,4,5,40,156381,156381,14
1,4,3,80,161412,161412,14
2,4,3,80,130438,130438,14
3,4,3,80,117499,117499,14
4,4,3,80,141935,141935,14
5,4,3,80,157029,157029,14
1,4,4,80,158225,158225,14
2,4,4,80,140399,140399,23
3,4,4,80,139876,139876,15
4,4,4,80,152092,152092,12
5,4,4,80,156029,156029,15
1,4,5,80,175378,175378,14
2,4,5,80,145993,145993,15
3,4,5,80,139490,139490,21
4,4,5,80,158299,158299,15
5,4,5,80,157387,157387,15
1,5,3,10,184391,184391,133
2,5,3,10,181998,181998,90
3,5,3,10,175546,175546,24
4,5,3,10,159218,159218,20
5,5,3,10,180418,180418,16
1,5,4,10,197109,197109,40
2,5,4,10,183398,183398,73
3,5,4,10,182781,182781,17
